identifier	slt	ink	demoted
0911.5175_EQ0011	0	0	no
0911.5175_EQ0012	0	7	no
0911.5175_EQ0013	0	1	no
0911.5175_EQ0014	0	1	no
0911.5175_EQ0015	0	0	no
0911.5175v2_EQ0001	0	46	no
0911.5175v2_EQ0005	0	31	no
0911.5175v2_EQ0006	0	1	no
0911.5175v2_EQ0007	0	2	no
0911.5175v2_EQ0008	0	2	no
0911.5175v2_EQ0009	0	0	no
0911.5175v2_EQ0010	0	2	no
0911.5175v2_EQ0011	0	0	no
0911.5175v2_EQ0012	0	7	no
0911.5175v2_EQ0013	0	1	no
0911.5175v2_EQ0014	0	1	no
0911.5175v2_EQ0015	0	0	no
0912.0721_EQ0002	0	0	no
0912.0721_EQ0007	0	4	no
0912.0721_EQ0010	0	0	no
0912.0721_EQ0012	0	0	no
0912.0721_EQ0014	0	0	no
0912.0721_EQ0016	0	8	no
0912.0721_EQ0017	0	1	no
1006.4908_EQ0001	0	6	no
1006.4908_EQ0005	0	1	no
1006.4908_EQ0013	0	22	no
1006.4908_EQ0014	0	2	no
1006.4908_EQ0015	0	3	no
1006.4908_EQ0018	0	3	no
1006.4908_EQ0022	0	4	no
1006.4908_EQ0023	0	6	no
1006.4908_EQ0031	0	1	no
1006.4908_EQ0044	0	0	no
1101.4542_EQ0001	0	0	no
1101.4542_EQ0004	0	0	no
1101.4542_EQ0005	0	0	no
1101.4542_EQ0007	0	0	no
1101.4542_EQ0008	0	0	no
1101.4542_EQ0009	0	2	no
1101.4542_EQ0010	0	7	no
1101.4542_EQ0011	0	6	no
1101.4542_EQ0012	0	23	no
1101.4542_EQ0014	0	0	no
1101.4542_EQ0025	0	0	no
1101.4542_EQ0026	0	2	no
1101.4542_EQ0027	0	7	no
1101.4542_EQ0028	0	4	no
1101.4542_EQ0029	0	0	no
1101.4542_EQ0030	0	0	no
1101.4542_EQ0032	0	0	no
1101.4542_EQ0033	0	4	no
1101.4542_EQ0034	0	0	no
1101.4542_EQ0037	0	6	no
1101.4542_EQ0038	0	14	no
1101.4542_EQ0039	0	0	no
1101.4542_EQ0040	0	2	no
1101.4542_EQ0041	0	3	no
1101.4542_EQ0042	0	0	no
1101.4542_EQ0043	0	0	no
1101.4542_EQ0044	0	0	no
1101.4542_EQ0045	0	0	no
1101.4542_EQ0046	0	2	no
1101.4542_EQ0049	0	0	no
1101.4542_EQ0050	0	0	no
1101.4542_EQ0053	0	2	no
1101.4542_EQ0056	0	3	no
1101.4542_EQ0058	0	26	no
1101.4542_EQ0059	0	0	no
1101.4542_EQ0063	0	10	no
1101.4542_EQ0064	0	4	no
1101.4542_EQ0065	0	0	no
1101.4542_EQ0068	0	2	no
1101.4542_EQ0070	0	75	no
1101.4542_EQ0074	0	6	no
1101.4542_EQ0075	0	2	no
1101.4542_EQ0077	0	7	no
1101.4542_EQ0079	0	4	no
1101.4542_EQ0080	0	1	no
1101.4542_EQ0081	0	22	no
1101.4542_EQ0082	0	9	no
1101.4542_EQ0083	0	14	no
1101.4542_EQ0084	0	0	no
1101.4542_EQ0086	0	2	no
1103.2338v5_EQ0001	0	0	no
1103.2338v5_EQ0002	0	0	no
1103.2338v5_EQ0004	0	2	no
1103.2338v5_EQ0009	0	0	no
1103.2338v5_EQ0010	0	7	no
1110.0240_EQ0001	0	5	no
1110.0240_EQ0002	0	3	no
1110.0240_EQ0003	0	3	no
1110.0240_EQ0005	0	0	no
1110.0240_EQ0006	0	0	no
1110.0240_EQ0007	0	0	no
1110.0240_EQ0008	0	0	no
1110.0240_EQ0009	0	1	no
1110.0240_EQ0011	0	0	no
1110.0240_EQ0012	0	0	no
1205.3463v2_EQ0014	0	0	no
1205.3463v2_EQ0018	0	2	no
1205.3463v2_EQ0020	0	1	no
1205.3463v2_EQ0032	0	1	no
1205.3463v2_EQ0033	0	2	no
1205.3463v2_EQ0036	0	3	no
1205.3463v2_EQ0037	0	5	no
1205.3463v2_EQ0060	0	1	no
1205.3463v2_EQ0062	0	1	no
1205.3463v2_EQ0069	0	0	no
1205.3463v2_EQ0074	0	1	no
1205.3463v2_EQ0077	0	3	no
1205.3463v2_EQ0078	0	2	no
1205.3463v2_EQ0080	0	21	no
1205.3463v2_EQ0086	0	6	no
1205.3463v2_EQ0088	0	1	no
1205.3463v2_EQ0090	0	2	no
1205.3463v2_EQ0094	0	1	no
1205.3463v2_EQ0111	0	3	no
1205.3463v2_EQ0125	0	7	no
1205.3463v2_EQ0141	0	4	no
1205.3463v2_EQ0143	0	1	no
1205.3463v2_EQ0149	0	0	no
1205.3463v2_EQ0150	0	3	no
1205.3463v2_EQ0154	0	3	no
1205.3463v2_EQ0155	0	1	no
1205.3463v2_EQ0167	0	4	no
1205.3463v2_EQ0170	0	3	no
1205.3463v2_EQ0173	0	2	no
1205.3463v2_EQ0174	0	5	no
1205.3463v2_EQ0178	0	6	no
1205.3463v2_EQ0181	0	5	no
1205.3463v2_EQ0182	0	5	no
1205.3463v2_EQ0183	0	2	no
1205.3463v2_EQ0194	0	5	no
1205.3463v2_EQ0195	0	4	no
1205.3463v2_EQ0214	0	3	no
1205.3463v2_EQ0216	0	3	no
1205.3463v2_EQ0217	0	5	no
1205.3463v2_EQ0223	0	0	no
1205.3463v2_EQ0224	0	2	no
1205.3463v2_EQ0230	0	9	no
1205.5935v1_EQ0001	0	4	no
1205.5935v1_EQ0004	0	0	no
1205.5935v1_EQ0005	0	0	no
1205.5935v1_EQ0006	0	0	no
1205.5935v1_EQ0007	0	0	no
1205.5935v1_EQ0008	0	0	no
1205.5935v1_EQ0009	0	0	no
1205.5935v1_EQ0010	0	0	no
1205.5935v1_EQ0011	0	0	no
1205.5935v1_EQ0012	0	0	no
1205.5935v1_EQ0013	0	1	no
1205.5935v1_EQ0014	0	1	no
1205.5935v1_EQ0015	0	2	no
1205.5935v1_EQ0016	0	1	no
1205.5935v1_EQ0017	0	1	no
1205.5935v1_EQ0018	0	0	no
1205.5935v1_EQ0019	0	1	no
1205.5935v1_EQ0020	0	3	no
1205.5935v1_EQ0022	0	3	no
1205.5935v1_EQ0024	0	2	no
1205.5935v1_EQ0025	0	0	no
1205.5935v1_EQ0026	0	2	no
1205.5935v1_EQ0027	0	0	no
1205.5935v1_EQ0032	0	0	no
1205.5935v1_EQ0033	0	1	no
1205.5935v1_EQ0035	0	4	no
1205.5935v1_EQ0036	0	0	no
1205.5935v1_EQ0037	0	1	no
1205.5935v1_EQ0039	0	3	no
1205.5935v1_EQ0041	0	2	no
1205.5935v1_EQ0043	0	3	no
1205.5935v1_EQ0044	0	0	no
1205.5935v1_EQ0047	0	5	no
1205.5935v1_EQ0051	0	0	no
1205.5935v1_EQ0053	0	3	no
1205.5935v1_EQ0054	0	0	no
1205.5935v1_EQ0058	0	4	no
1205.5935v1_EQ0066	0	0	no
1205.5935v1_EQ0068	0	2	no
1205.5935v1_EQ0071	0	6	no
1205.5935v1_EQ0075	0	2	no
1205.5935v1_EQ0076	0	7	no
1205.5935v1_EQ0077	0	8	no
1205.5935v1_EQ0078	0	2	no
1205.5935v1_EQ0080	0	2	no
1205.5935v1_EQ0081	0	0	no
1205.5935v1_EQ0082	0	3	no
1205.5935v1_EQ0084	0	18	no
1205.5935v1_EQ0086	0	8	no
1205.5935v1_EQ0089	0	1	no
1205.5935v1_EQ0091	0	7	no
1205.5935v1_EQ0096	0	9	no
1205.5935v1_EQ0097	0	0	no
1205.5935v1_EQ0105	0	2	no
1205.5935v1_EQ0108	0	0	no
